601 121 1
0 0 -82 	 0 0 -1.8579
0 0 -81 	 0 0 -1.86272
0 0 -80 	 0 0 -1.867
0 0 -79 	 0 0 -1.87145
0 0 -78 	 0 0 -1.8754
0 0 -77 	 0 0 -1.87975
0 0 -76 	 0 0 -1.8836
0 0 -75 	 0 0 -1.88765
0 0 -74 	 0 0 -1.8917
0 0 -73 	 0 0 -1.8956
0 0 -72 	 0 0 -1.8995
0 0 -71 	 0 0 -1.90342
0 0 -70 	 0 0 -1.9069
0 0 -69 	 0 0 -1.91077
0 0 -68 	 0 0 -1.9142
0 0 -67 	 0 0 -1.91807
0 0 -66 	 0 0 -1.9215
0 0 -65 	 0 0 -1.92485
0 0 -64 	 0 0 -1.9282
0 0 -63 	 0 0 -1.93165
0 0 -62 	 0 0 -1.9347
0 0 -61 	 0 0 -1.93804
0 0 -60 	 0 0 -1.941
0 0 -59 	 0 0 -1.94429
0 0 -58 	 0 0 -1.9472
0 0 -57 	 0 0 -1.95015
0 0 -56 	 0 0 -1.9531
0 0 -55 	 0 0 -1.95612
0 0 -54 	 0 0 -1.9588
0 0 -53 	 0 0 -1.96171
0 0 -52 	 0 0 -1.9643
0 0 -51 	 0 0 -1.96695
0 0 -50 	 0 0 -1.9693
0 0 -49 	 0 0 -1.9717
0 0 -48 	 0 0 -1.9741
0 0 -47 	 0 0 -1.97654
0 0 -46 	 0 0 -1.9787
0 0 -45 	 0 0 -1.98108
0 0 -44 	 0 0 -1.9832
0 0 -43 	 0 0 -1.98548
0 0 -42 	 0 0 -1.9875
0 0 -41 	 0 0 -1.98962
0 0 -40 	 0 0 -1.9915
0 0 -39 	 0 0 -1.99345
0 0 -38 	 0 0 -1.9954
0 0 -37 	 0 0 -1.99705
0 0 -36 	 0 0 -1.9987
0 0 -35 	 0 0 -2.0004
0 0 -34 	 0 0 -2.0019
0 0 -33 	 0 0 -2.0035
0 0 -32 	 0 0 -2.0051
0 0 -31 	 0 0 -2.00655
0 0 -30 	 0 0 -2.008
0 0 -29 	 0 0 -2.0092
0 0 -28 	 0 0 -2.0104
0 0 -27 	 0 0 -2.01165
0 0 -26 	 0 0 -2.0129
0 0 -25 	 0 0 -2.0141
0 0 -24 	 0 0 -2.0153
0 0 -23 	 0 0 -2.01615
0 0 -22 	 0 0 -2.017
