601 121 1
0 0 -82 	 0 0 -1.5607
0 0 -81 	 0 0 -1.56478
0 0 -80 	 0 0 -1.5684
0 0 -79 	 0 0 -1.57211
0 0 -78 	 0 0 -1.5754
0 0 -77 	 0 0 -1.57906
0 0 -76 	 0 0 -1.5823
0 0 -75 	 0 0 -1.5857
0 0 -74 	 0 0 -1.5891
0 0 -73 	 0 0 -1.5924
0 0 -72 	 0 0 -1.5957
0 0 -71 	 0 0 -1.59899
0 0 -70 	 0 0 -1.6019
0 0 -69 	 0 0 -1.60519
0 0 -68 	 0 0 -1.6081
0 0 -67 	 0 0 -1.61133
0 0 -66 	 0 0 -1.6142
0 0 -65 	 0 0 -1.617
0 0 -64 	 0 0 -1.6198
0 0 -63 	 0 0 -1.62266
0 0 -62 	 0 0 -1.6252
0 0 -61 	 0 0 -1.62806
0 0 -60 	 0 0 -1.6306
0 0 -59 	 0 0 -1.6333
0 0 -58 	 0 0 -1.6357
0 0 -57 	 0 0 -1.6382
0 0 -56 	 0 0 -1.6407
0 0 -55 	 0 0 -1.64324
0 0 -54 	 0 0 -1.6455
0 0 -53 	 0 0 -1.64794
0 0 -52 	 0 0 -1.6501
0 0 -51 	 0 0 -1.65233
0 0 -50 	 0 0 -1.6543
0 0 -49 	 0 0 -1.6563
0 0 -48 	 0 0 -1.6583
0 0 -47 	 0 0 -1.66037
0 0 -46 	 0 0 -1.6622
0 0 -45 	 0 0 -1.66421
0 0 -44 	 0 0 -1.666
0 0 -43 	 0 0 -1.66791
0 0 -42 	 0 0 -1.6696
0 0 -41 	 0 0 -1.6714
0 0 -40 	 0 0 -1.673
0 0 -39 	 0 0 -1.67465
0 0 -38 	 0 0 -1.6763
0 0 -37 	 0 0 -1.67765
0 0 -36 	 0 0 -1.679
0 0 -35 	 0 0 -1.68043
0 0 -34 	 0 0 -1.6817
0 0 -33 	 0 0 -1.683
0 0 -32 	 0 0 -1.6843
0 0 -31 	 0 0 -1.68555
0 0 -30 	 0 0 -1.6868
0 0 -29 	 0 0 -1.68785
0 0 -28 	 0 0 -1.6889
0 0 -27 	 0 0 -1.6899
0 0 -26 	 0 0 -1.6909
0 0 -25 	 0 0 -1.6919
0 0 -24 	 0 0 -1.6929
0 0 -23 	 0 0 -1.69365
0 0 -22 	 0 0 -1.6944
0 0 -21 	 0 0 -1.69505
0 0 -20 	 0 0 -1.6957
0 0 -19 	 0 0 -1.6964
0 0 -18 	 0 0 -1.6971
0 0 -17 	 0 0 -1.6977
0 0 -16 	 0 0 -1.6983
0 0 -15 	 0 0 -1.69865
0 0 -14 	 0 0 -1.699
0 0 -13 	 0 0 -1.6993
0 0 -12 	 0 0 -1.6996
0 0 -11 	 0 0 -1.6999
0 0 -10 	 0 0 -1.7002
0 0 -9 	 0 0 -1.7004
0 0 -8 	 0 0 -1.7006
0 0 -7 	 0 0 -1.7007
0 0 -6 	 0 0 -1.7008
0 0 -5 	 0 0 -1.7008
0 0 -4 	 0 0 -1.7008
0 0 -3 	 0 0 -1.70065
0 0 -2 	 0 0 -1.7005
0 0 -1 	 0 0 -1.70025
0 0 0 	 0 0 -1.7
0 0 1 	 0 0 -1.69965
0 0 2 	 0 0 -1.6993
0 0 3 	 0 0 -1.699
0 0 4 	 0 0 -1.6987
0 0 5 	 0 0 -1.69815
0 0 6 	 0 0 -1.6976
0 0 7 	 0 0 -1.697
0 0 8 	 0 0 -1.6964
0 0 9 	 0 0 -1.69575
0 0 10 	 0 0 -1.6951
0 0 11 	 0 0 -1.69435
0 0 12 	 0 0 -1.6936
0 0 13 	 0 0 -1.69265
